,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,songs_id,artist
57,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073,audio_features,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,209320,4,New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa
58,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,audio_features,2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,214290,4,Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello
59,0.757,0.601,5,-5.668,0,0.242,0.297,0.0,0.0999,0.559,103.949,audio_features,7JuJatesyPFuNMhhmzfpzJ,spotify:track:7JuJatesyPFuNMhhmzfpzJ,https://api.spotify.com/v1/tracks/7JuJatesyPFuNMhhmzfpzJ,https://api.spotify.com/v1/audio-analysis/7JuJatesyPFuNMhhmzfpzJ,130962,4,Vibez & Party,7JuJatesyPFuNMhhmzfpzJ,Bori
60,0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847,4,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris
61,0.769,0.682,2,-10.708,1,0.156,0.107,1.57e-06,0.272,0.639,111.0,audio_features,70XolGrBRceC6TZ0E2NAwv,spotify:track:70XolGrBRceC6TZ0E2NAwv,https://api.spotify.com/v1/tracks/70XolGrBRceC6TZ0E2NAwv,https://api.spotify.com/v1/audio-analysis/70XolGrBRceC6TZ0E2NAwv,214089,4,Sweat,70XolGrBRceC6TZ0E2NAwv,Aston Merrygold 
62,0.834,0.73,8,-3.714,1,0.222,0.00513,0.0,0.124,0.446,155.008,audio_features,2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,312820,4,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,Travis Scott
63,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,audio_features,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/audio-analysis/4ZtFanR9U6ndgddUvNcjcG,178147,4,good 4 u,4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo
64,0.649,0.716,8,-5.371,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,audio_features,0lYBSQXN6rCTvUZvg9S0lU,spotify:track:0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU,https://api.spotify.com/v1/audio-analysis/0lYBSQXN6rCTvUZvg9S0lU,205947,4,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,DJ Snake
65,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,audio_features,5wANPM4fQCJwkGd4rN57mH,spotify:track:5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,242013,4,drivers license,5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo
66,0.654,0.76,0,-3.669,0,0.045,0.0797,0.0,0.299,0.41,99.945,audio_features,69bp2EbF7Q2rqc5N3ylezZ,spotify:track:69bp2EbF7Q2rqc5N3ylezZ,https://api.spotify.com/v1/tracks/69bp2EbF7Q2rqc5N3ylezZ,https://api.spotify.com/v1/audio-analysis/69bp2EbF7Q2rqc5N3ylezZ,200787,4,Sorry,69bp2EbF7Q2rqc5N3ylezZ,Justin Bieber
67,0.448,0.818,10,-4.038,0,0.34,0.131,0.0,0.11,0.768,82.885,audio_features,3FlSyheHttoFTqcN7Hhif8,spotify:track:3FlSyheHttoFTqcN7Hhif8,https://api.spotify.com/v1/tracks/3FlSyheHttoFTqcN7Hhif8,https://api.spotify.com/v1/audio-analysis/3FlSyheHttoFTqcN7Hhif8,187973,4,Treat You Better,3FlSyheHttoFTqcN7Hhif8,Shawn Mendes
68,0.327,0.71,3,-2.928,1,0.0547,0.202,9e-05,0.28,0.416,179.561,audio_features,2Oehrcv4Kov0SuIgWyQY9e,spotify:track:2Oehrcv4Kov0SuIgWyQY9e,https://api.spotify.com/v1/tracks/2Oehrcv4Kov0SuIgWyQY9e,https://api.spotify.com/v1/audio-analysis/2Oehrcv4Kov0SuIgWyQY9e,175200,4,Demons,2Oehrcv4Kov0SuIgWyQY9e,Imagine Dragons
